timestamp,age,gender,race_ethnicity,please_explain_your_answer_to_the_question_above_why_or_why_not_would_you_be_interested_in_taking_another_computing_class,how_did_you_hear_about_county_college_of_morris_ccm_web_site,how_did_you_hear_about_county_college_of_morris_social_media,how_did_you_hear_about_county_college_of_morris_community_event,how_did_you_hear_about_county_college_of_morris_family_member_or_friend,how_did_you_hear_about_county_college_of_morris_current_ccm_student,how_did_you_hear_about_county_college_of_morris_ccm_alumni,how_did_you_hear_about_county_college_of_morris_high_school_teacher,how_did_you_hear_about_county_college_of_morris_high_school_counselor,how_did_you_hear_about_county_college_of_morris_in_app_advertisement,how_did_you_hear_about_county_college_of_morris_employer,how_did_you_hear_about_county_college_of_morris_billboard,how_did_you_hear_about_county_college_of_morris_television,how_did_you_hear_about_county_college_of_morris_radio,how_did_you_hear_about_county_college_of_morris_other,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_to_get_a_job_in_the_computing_field,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_transfer_to_bachelors_level_program,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_transfer_credits_back_to_hs_degree_sharetime_challenger_program,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_career_advancement,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_career_change,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_professional_development,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_job_displacement,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_relocation,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_to_keep_current_in_tech_industry,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_it_industry_certifications,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_financial,what_motivated_you_to_seek_a_computing_degree_certificate_at_ccm_personal_enrichment
2024/09/09 12:33:58 PM AST,21-24,Man,White/Caucasian,Quite difficult and I do not see myself using it in the future ,True,True,True,True,True,True,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/09 6:00:11 PM AST,18 and younger,Man,Hispanic or Latino;White/Caucasian;Multi-Racial,,False,False,True,False,False,False,True,Don't recall,False,False,False,False,False,Don't recall,True,False,False,False,False,False,False,False,False,False,False,True
2024/09/10 9:00:12 AM AST,18 and younger,Man,Hispanic or Latino;Asian,,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False
2024/09/10 12:34:53 PM AST,19-20,Man,Hispanic or Latino,"It all depends on what classes are required for my final semester, but I might not be looking back to this class overall.",True,True,True,True,False,False,True,True,False,False,True,True,False,False,,,,,,,,,,,,
2024/09/10 3:06:47 PM AST,19-20,Man,Asian,,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True
2024/09/10 3:07:28 PM AST,21-24,Man,White/Caucasian,I work with Schneider Electric PLC Programming software on a daily basis and some of what I need to learn is based on basic Computer programming language,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,,,,,,,,,,,
2024/09/10 3:07:36 PM AST,19-20,Man,Asian,This it the only computing class I would need to take to complete my degree.,True,True,Don't recall,True,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/10 3:07:42 PM AST,19-20,Woman,Asian,,True,True,False,True,True,True,True,True,False,False,False,False,False,False,,,,,,,,,,,,
2024/09/10 3:07:51 PM AST,18 and younger,Woman,Hispanic or Latino,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True
2024/09/10 3:08:06 PM AST,18 and younger,Man,White/Caucasian,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False
